འཕགས་པ་ལྷག་པའི་བསམ་པ་བསྐུལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Inspiring Determination
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་བཱ་ར་ཎཱ་སཱི་ན་དྲང་སྲོང་ལྷུང་བ་རི་དགས་ཀྱི་ནགས་ན། དགེ་སློང་སྟོང་ཐམ་པའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་ལྔ་བརྒྱ་ཕལ་ཆེར་དགེ་བའི་རྩ་བ་ཡོངས་སུ་སྨིན་པ། ལས་ཀྱི་སྒྲིབ་པ་བསལ་བ་ཤ་སྟག་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ ||| The Blessed One was residing at Vārāṇasī, in the Deer Park by the Hill of Fallen Sages, accompanied by a great congregation of one thousand monks and five hundred bodhisattvas, most of whom had ripened their roots of virtue and cleared away their obscurations of karma.
དེའི་ཚེ་དེ་ན་བྱང་ཆུབ་སེམས་དཔའ་ཁ་ཅིག་འདུ་འཛི་ལ་དགའ་བར་གནས་ཤིང་གཉིད་ལ་དགའ་བ་དང་། ལས་ལ་དགའ་བ་དང་། སྨྲ་བ་ལ་དགའ་བ་དང་། སྤྲོས་པ་ལ་དགའ་བ་དང་། སྦག་པས་སྤགས་པར་གྱུར་པ་དང་། རིགས་པ་མེད་པ་དང་། མི་བརྩོན་པ་དང་། ལེ་ལོ་ཅན་དང་། བརྩོན་འགྲུས་དམན་པ་དང་། སྦྱོར་བ་བཏང་བར་གནས་ཏེ ||| At that time, some of the bodhisattvas there continued to enjoy social diversions, liked to sleep, liked to work, liked to talk, and liked deceit; they were soiled with stains, improper, indolent, and lazy. They had poor diligence and had stopped applying themselves.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ཡོན་ཏན་མ་ཡིན་པའི་སྤྱོད་པ་འདི་ལྟ་བུ་དང་ལྡན་པར་མཐོང་ངོ་། ། ||| The bodhisattva great being Maitreya noticed those bodhisattvas conducting themselves in these unvirtuous ways.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| The bodhisattva great being Maitreya then thought to himself,
ཀྱེ་མ་བྱང་ཆུབ་སེམས་དཔའ་འདི་དག་ནི་བྱང་ཆུབ་ཀྱི་ཡན་ལག་ཡོངས་སུ་རྫོགས་པར་བྱ་བ་ལས་ཡོངས་སུ་ཉམས་ཀྱིས་བདག་གིས་བྱང་ཆུབ་སེམས་དཔའ་འདི་དག་བསྐུལ་བར་བྱ། ||| “Alas, these bodhisattvas have slackened in their efforts to perfect the branches of awakening. Therefore, I must rouse these bodhisattvas;
དྲན་པར་བྱ་གོར་མ་ཆག་གོ་སྙམ་མོ། ། ||| I must remind them—that is for certain!”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ཕྱེ་མ་རེད་ཀྱི་དུས་ཀྱི་ཚེ་ནང་དུ་ཡང་དག་འཇོག་ལས་ལངས་ནས་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ག་ལ་བ་དེར་སོང་སྟེ་ ||| Accordingly, in the afternoon, the bodhisattva great being Maitreya arose from his inner absorption and proceeded to where those bodhisattvas were staying.
ཕྱིན་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་དང་ལྷན་ཅིག་ཏུ་ཡང་དག་པར་མགུ་བར་བྱ་བ་དང་། ཡང་དག་པར་དགའ་བར་བྱ་བའི་གཏམ་རྣམ་པ་སྣ་ཚོགས་བྱས་ནས་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| When he arrived, the bodhisattva great being exchanged greetings with them with sincere joy and delight, and then asked those bodhisattvas,
