༄༅། །འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་སུམ་ཅུ་པ་སྟེ་བུ་མོ་བློ་གྲོས་བཟང་མོས་ཞུས་པ་ལུང་བསྟན་པ། བམ་པོ་ཕྱེད་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སུ་མ་ཏི་དཱ་རི་ཀ་པྲྀ་ཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་བུ་མོ་བློ་གྲོས་བཟང་མོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Noble Mahāyāna Sūtra The Inquiry of the Girl Sumati Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཁྲིའི་བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ། ||| The Bhagavān was residing on Vulture Peak at Rājagṛha together with a large community of twelve hundred and fifty monks and a large community of ten thousand bodhisattvas.
དེའི་ཚེ་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ན་ཁྱིམ་བདག་དྲག་ཤུལ་ཅན་གྱི་བུ་མོ་བློ་གྲོས་བཟང་མོ་ཞེས་བྱ་བ་བཙས་ནས་ལོ་བརྒྱད་ལོན་པ་འདྲ་བ། ||| At that time, in the great city of Rājagṛha, there lived a girl named Sumati who was the daughter of the householder Ugra.
གཟུགས་བཟང་བ། མཛེས་པ། བལྟ་ན་སྡུག་པ། ཁ་དོག་བཟང་པོ་རྒྱས་པ་མཆོག་དང་ལྡན་པ། ||| She was about eight years old, had a graceful appearance, was beautiful and pleasant to behold, had a fine complexion, and was well proportioned.
སྔོན་གྱི་རྒྱལ་བ་ལ་ལྷག་པར་བྱ་བ་བྱས་པ། དགེ་བའི་རྩ་བ་བསྐྱེད་པ། ||| In the past, she had served the victors and generated roots of virtue.
སངས་རྒྱས་འབུམ་ཕྲག་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་མང་པོ་ལ་བསྙེན་བཀུར་བྱས་པ། སངས་རྒྱས་འབུམ་ཕྲག་བྱེ་བ་ཁྲག་ཁྲིག་དཔག་ཏུ་མེད་པ་ལ་དགེ་བའི་རྩ་བ་བསྐྱེད་པ་ཞིག་འདུག་པ་དེ་འཁོར་དང་བཅས་པ་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ག་ལ་བ་དང་། ||| She had venerated many hundreds and thousands of millions and billions of buddhas and accumulated roots of virtue in the company of countless millions upon billions upon trillions of buddhas.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ||| Together with her retinue, she went to Vulture Peak where the Bhagavān was residing and bowed down with her head at his feet.
བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ནས་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་འདུག་སྟེ་བཅོམ་ལྡན་འདས་ལ་ཚིགས་སུ་བཅད་དེ་གསོལ་པ། གལ་ཏེ་སྐབས་ཕྱེ་བདག་གིས་ནི། །རྫོགས་པའི་སངས་རྒྱས་རྐང་གཉིས་མཆོག །འཇིག་རྟེན་སྣང་བར་མཛད་པ་ལ། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་གང་ཞུ། ། ||| Then, after walking around the Bhagavān three times, keeping him on her right, she sat down in front of him and addressed him in verse: “If I may, I would like to ask the perfect Buddha, The best of those who walk on two feet, The one who illuminates the world: What are the practices of a bodhisattva?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། །ཡིད་ལ་ཅི་འདོད་ཐམས་ཅད་ནི། །བུ་མོ་ཁྱོད་ཀྱིས་དྲི་བར་གྱིས། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ཀུན། །ཅི་འདྲ་ཁྱོད་ལ་བསྟན་པར་བྱ། ། ||| The Bhagavān replied: “Girl, ask whatever you like, And I will explain to you All the practices of a bodhisattva, Just as your heart desires.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བུ་མོ་བློ་གྲོས་བཟང་མོས་ཚིགས་སུ་བཅད་དེ་གསོལ་པ། གང་གིས་སུ་ནི་མཛེས་པར་འགྱུར། ། ||| Thereupon the girl Sumati addressed the Bhagavān with these verses: “How does one become beautiful?
གང་གིས་ནོར་ནི་ཆེ་བ་དང་། ། ||| How does one become wealthy?
མི་ཕྱེད་འཁོར་དང་ལྡན་པར་འགྱུར། ། ||| How does one come to have a united assembly?
ཐུབ་པས་འདི་ནི་བདག་ལ་གསུངས། ། ||| Would the Sage teach me this?
ཆོས་ཀྱི་རྒྱལ་པོའི་སྤྱན་སྔར་ནི། །གང་གིས་རྫུས་ཏེ་སྐྱེ་འགྱུར་ཞིང་། །འདབ་མ་སྟོང་ལྡན་པདྨ་ལ། ། ||| “How does one become spontaneously reborn In the presence of the King of Dharma, Where one comes into being sitting upon A thousand-petaled lotus?
མཆིས་པར་ཡང་ནི་གདའ་བ་དང་། །ཞིང་རྣམས་བྱེ་བ་དཔག་ཡས་པར། །སངས་རྒྱས་ཕྱག་བགྱིར་མཆི་བ་ཡི། །རྫུ་འཕྲུལ་ཕ་རོལ་ཕྱིན་འགྱུར་བའི། །སྤྱོད་པ་རྒྱལ་བས་ལུང་བསྟན་གསོལ། ། ||| “Would the Victor teach the practices by which One comes to possess the perfections and superhuman powers, And by which one goes to myriad realms without measure In order to pay homage to the buddhas?
དགྲ་ཟླ་མ་མཆིས་གང་གིས་འགྱུར། ། ||| “What makes one free from enemies?
ཚིག་ཀྱང་བཙུན་པར་འགྱུར་བ་དང་། ། ||| What gives weight to one’s words?
ལས་ཀྱི་སྒྲིབ་པ་མ་མཆིས་དང་། །བདུད་ཀྱི་ལས་ཀུན་མ་མཆིས་དང་། ། ||| How can one face no hindrance from karma, And encounter none of Māra’s work?
འཆི་བའི་དུས་ནི་བགྱིད་པ་ན། །མངོན་སུམ་སངས་རྒྱས་མཐོང་བ་དང་། །དེ་ལས་ཆོས་ཀྱང་ཉན་པ་དང་། །སྡུག་བསྔལ་ཚོར་བ་མྱོང་མི་འགྱུར། ། ||| “When the time of death has come, How can one see the Buddha directly, And also hear the Dharma from him, And not experience the feeling of suffering?”
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བུ་མོ་བློ་གྲོས་བཟང་མོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །བུ་མོ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་ལ་དོན་འདི་དྲི་བར་སེམས་པ་ལེགས་སོ་ལེགས་སོ། ། ||| When she had said this, the Bhagavān replied to the girl Sumati, “Girl, your intention to ask the Tathāgata about this topic is excellent!
བུ་མོ་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་ངས་བཤད་དོ། ། ||| It is excellent! Therefore, girl, listen carefully and pay close attention, and I will explain it to you.”
བུ་མོ་བློ་གྲོས་བཟང་མོས་བཅོམ་ལྡན་འདས་ལེགས་སོ་ཞེས་གསོལ་ཏེ། ||| The girl Sumati replied, “Excellent, Bhagavān!”
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་མཛེས་པར་འགྱུར་ཏེ། ||| and she listened accordingly as the Bhagavān taught her: “Girl, there are four dharmas, the possession of which causes a bodhisattva to become beautiful.
བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these four?
ཐ་ན་དགྲ་ལ་ཡང་ཁྲོ་བར་མི་བྱེད་པ་དང་། བྱམས་པ་ལ་གནས་པ་དང་། ཆོས་འདོད་པ་དང་། དེ་བཞིན་གཤེགས་པའི་སྐུ་གཟུགས་བྱེད་དུ་འཇུག་པ་སྟེ། ||| They are (1) one does not act out of anger, even at an enemy; (2) one becomes established in love; (3) one desires the Dharma, and (4) one causes figures to be made of the tathāgatas.
