འཕགས་པ་བསྐལ་པ་བཟང་པོ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Good Eon
བམ་པོ་དང་པོ། ||| Chapter 1
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་བཞུགས་ཏེ། ||| The Blessed One was residing at Śrāvasti,
དབྱར་གནས་པར་བཞུགས་བཞུགས་ནས། ||| where he had observed the summer retreat.
དབྱར་ཟླ་གསུམ་འདས་པ་དང་། ཆོས་གོས་མཛད་དོ། ། ||| After the three months of summer had passed, he prepared his Dharma robes.
ཆོས་གོས་མཛད་ནས། ||| Once he had prepared his Dharma robes,
ཆོས་གོས་མནབས་ཏེ། ||| he put on the robes,
ལྷུང་བཟེད་ཐོགས་ནས། ||| took up his alms bowl, and,
ཡངས་པ་ཅན་གྱི་གྲོང་ཁྱེར་ག་ལ་བ་དེར། དགེ་སློང་འབུམ་དང་ཡང་ཐབས་ཅིག །བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་བརྒྱད་ཅུ་སྙེད་དང་ཡང་ཐབས་ཅིག་ཏུ་གཤེགས་ཏེ། ||| together with one hundred thousand monks and eight hundred million bodhisattvas, proceeded toward the city of Vaiśālī.
བྱོན་ནས་ཚལ་ཆེན་པོར་གཤེགས་པ་དང་། ནང་དུ་ཡང་དག་འཇོག་ལས་བཞེངས་སོ། ། ||| On the way, the Blessed One entered a large forest, where he later arose from meditative seclusion.
བྱང་ཆུབ་སེམས་དཔའ་མཆོག་ཏུ་དགའ་བའི་རྒྱལ་པོ་དེ་ཡང་ནང་དུ་ཡང་དག་འཇོག་ལ་ཞུགས་པ་ལས། ||| The bodhisattva Prāmodyarāja, who had also entered meditative seclusion,
ནང་དུ་ཡང་དག་འཇོག་ལས་ལངས་ཏེ། ||| now likewise reemerged from this state.
དགེ་སློང་གི་འཁོར་དང་། དགེ་སློང་མའི་འཁོར་དང་། དགེ་བསྙེན་གྱི་འཁོར་དང་། དགེ་བསྙེན་མའི་འཁོར་དང་། ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོའི་འཁོར་དག་དང་ལྷན་ཅིག་ཏུ་སྟན་བཏིང་བ་ལ་འདུག་གོ། ། ||| He and the whole assembly of monks, nuns, male lay practitioners, female lay practitioners, gods, nāgas, yakṣas, gandharvas, asuras, garuḍas, kinnaras, and mahorāgas were now seated on their mats.
བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ཀྱང་སྣང་བ་ཐོབ་པ། གཟུངས་ཐོབ་པ། ཏིང་ངེ་འཛིན་ཐོབ་པ། ||| All of the assembled bodhisattvas had attained illumination, retention, and absorption.
མངོན་པར་ཤེས་པ་ལྔ་དང་ལྡན་པ། ||| They were endowed with the five superknowledges,
ཚིག་གཟུང་བར་འོས་པ། ||| their words were worthy of retention,
ཚུལ་འཆོས་པ་མེད་པ། ||| and they were free from pretense,
ཤེས་ཀྱི་ཁེ་དང་། ||| had no worldly ambitions,
ཆགས་སེམས་དང་བྲལ་བ། ||| and were free from attachment.
ཟང་ཟིང་མེད་པར་ཆོས་སྟོན་པ། ||| They taught the Dharma without any regard for material things.
ཆོས་ཟབ་མོ་ལ་བཟོད་པའི་ཕ་རོལ་ཏུ་སོན་པ། ||| They had perfected acceptance of the profound Dharma,
མི་འཇིགས་པ་ཐོབ་པ། ||| had accomplished fearlessness,
བདུད་ཀྱི་ལས་ལས་ཡང་དག་པར་འདས་པ། ||| and were beyond the actions of the māras.
ལས་ཀྱི་སྒྲིབ་པ་སྤངས་པ། ||| They had shed karmic obscurations,
