༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ལ་ལི་ཏ་བི་སྟཱ་ར་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྒྱ་ཆེར་རོལ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Play in Full
།བམ་པོ་དང་པོ། ||| Chapter 1
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas!
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན། རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན། དགེ་སློང་ཁྲི་ཉིས་སྟོང་གི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་ལ་འདི་ལྟ་སྟེ། ཚེ་དང་ལྡན་པ་ཀུན་ཤེས་ཀཽཎྜི་ནྱ་དང་། ཚེ་དང་ལྡན་པ་རྟ་ཐུལ་དང་། ཚེ་དང་ལྡན་པ་རླངས་པ་དང་། ཚེ་དང་ལྡན་པ་མིང་ཆེན་དང་། ཚེ་དང་ལྡན་པ་བཟང་པོ་དང་། ཚེ་དང་ལྡན་པ་གྲགས་སྦྱིན་དང་། ཚེ་དང་ལྡན་པ་དྲི་མ་མེད་དང་། ཚེ་དང་ལྡན་པ་ལག་བཟངས་དང་། ཚེ་དང་ལྡན་པ་གང་པོ་དང་། ཚེ་དང་ལྡན་པ་བ་ལང་བདག་དང་། ཚེ་དང་ལྡན་པ་ལྟེང་རྒྱས་འོད་སྲུང་དང་། ཚེ་དང་ལྡན་པ་ཆུ་ཀླུང་འོད་སྲུང་དང་། ཚེ་དང་ལྡན་པ་ག་ཡཱ་འོད་སྲུང་དང་། ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་དང་། ཚེ་དང་ལྡན་པ་མཽད་གལ་གྱི་བུ་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་ཀཱ་ཏྱཱའི་བུ་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་ཀ་པི་ན་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་གསུས་པོ་ཆེ་དང་། ཚེ་དང་ལྡན་པ་སྐུལ་བྱེད་དང་། ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོ་དང་། ཚེ་དང་ལྡན་པ་མ་འགགས་པ་དང་། ཚེ་དང་ལྡན་པ་དགའ་བྱེད་དང་། ཚེ་དང་ལྡན་པ་འུག་པ་དང་། ཚེ་དང་ལྡན་པ་རབ་འབྱོར་དང་། ཚེ་དང་ལྡན་པ་ནམ་གྲུ་དང་། ཚེ་དང་ལྡན་པ་སེང་ལྡེང་ནགས་པ་དང་། ཚེ་དང་ལྡན་པ་དོན་ཡོད་རྒྱལ་པོ་དང་། ཚེ་དང་ལྡན་པ་ཕ་རོལ་ཏུ་འགྲོ་བ་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་བ་ཀུ་ལ་དང་། ཚེ་དང་ལྡན་པ་དགའ་བོ་དང་། ཚེ་དང་ལྡན་པ་སྒྲ་གཅན་ཟིན་དང་། ཚེ་དང་ལྡན་པ་ལེགས་འོངས་དང་། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་དང་། དེ་དག་ལ་སོགས་པ་དགེ་སློང་ཁྲི་ཉིས་སྟོང་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ||| The Blessed One was staying in Śrāvastī at Jeta Grove, in the park of Anāthapiṇḍada, along with a great saṅgha of twelve thousand monks. Among them were venerable Ājñāta­kauṇḍinya, venerable Aśvajit, venerable Bāṣpa, venerable Mahānāma, venerable Bhadrika, venerable Yaśodeva, venerable Vimala, venerable Subāhu, venerable Pūrṇa, venerable Gavāṃpati, venerable Urubilvā Kāśyapa, venerable Nadīkāśyapa, venerable Gayākāśyapa, venerable Śāriputra, venerable Mahā­maudgalyāyana, venerable Mahākāśyapa, venerable Mahākātyāyana, venerable Mahākapphiṇa, venerable Kauṣṭhila, venerable Cunda, venerable Pūrṇa­maitrāyaṇī­putra, venerable Aniruddha, venerable Nandika, venerable Kampila, venerable Subhūti, venerable Revata, venerable Khadiravaṇika, venerable Amogharāja, venerable Mahāpāraṇika, venerable Vakkula, venerable Nanda, venerable Rāhula, venerable Svāgata, and venerable Ānanda.
།བྱང་ཆུབ་སེམས་དཔའ་སུམ་ཁྲི་ཉིས་སྟོང་ཐམས་ཅད་ཀྱང་སྐྱེ་བ་གཅིག་གིས་ཐོགས་པ། བྱང་ཆུབ་སེམས་དཔའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཐམས་ཅད་ལས་ངེས་པར་སྐྱེས་པ། ||| Along with these monks were 32,000 bodhisattvas, all of whom had only a single birth remaining and were adept in all the perfections of the bodhisattvas.
བྱང་ཆུབ་སེམས་དཔའི་མངོན་པར་ཤེས་པ་ཐམས་ཅད་ཀྱིས་རྣམ་པར་རྩེ་བ། བྱང་ཆུབ་སེམས་དཔའི་གཟུངས་ཐམས་ཅད་ཐོབ་པ། བྱང་ཆུབ་སེམས་དཔའི་སྤོབས་པ་ཐམས་ཅད་ཐོབ་པ། ||| They enjoyed all the superknowledges of the bodhisattvas and had attained all the dhāraṇīs and all the confidence of the bodhisattvas.
བྱང་ཆུབ་སེམས་དཔའི་སྨོན་ལམ་ཐམས་ཅད་ཤིན་ཏུ་ཡོངས་སུ་རྫོགས་པ། བྱང་ཆུབ་སེམས་དཔའི་སོ་སོ་ཡང་དག་པར་རིག་པ་ཐམས་ཅད་རྟོགས་པར་ཁོང་དུ་ཆུད་པ། བྱང་ཆུབ་སེམས་དཔའི་ཏིང་ངེ་འཛིན་ཐམས་ཅད་ལ་དབང་ཐོབ་པ། ||| They had completed all the aspirations of the bodhisattvas, understood and realized all discriminating knowledges of the bodhisattvas, and gained mastery over all the absorptions of the bodhisattvas.
བྱང་ཆུབ་སེམས་དཔའི་དབང་ཐམས་ཅད་ཐོབ་པ། བྱང་ཆུབ་སེམས་དཔའི་བཟོད་པ་ཐམས་ཅད་ལ་ཞུགས་པ། ||| They had obtained all the powers of the bodhisattvas and dwelt with all the patience of the bodhisattvas.
བྱང་ཆུབ་སེམས་དཔའི་ས་ཐམས་ཅད་རབ་ཏུ་རྫོགས་པ་ཤ་སྟག་སྟེ། ||| Indeed each of them had completed all the bodhisattva grounds.
འདི་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གཟུངས་ཀྱི་དབང་ཕྱུག་རྒྱལ་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེང་གེའི་ཏོག་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དོན་གྲུབ་བློ་གྲོས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱོད་པ་རབ་ཏུ་ཞི་བའི་བློ་གྲོས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སོ་སོ་ཡང་དག་པར་རིག་པ་ཐོབ་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བརྩོན་འགྲུས་རྟག་པར་སྦྱོར་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྙིང་རྗེ་ཆེར་སེམས་དང་། དེ་དག་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སུམ་ཁྲི་ཉིས་སྟོང་དང་ཡང་ཐབས་ཅིག་གོ། ། ||| Foremost among them were the bodhisattva great being Maitreya, the bodhisattva great being Dharaṇīśvara­rāja, the bodhisattva great being Siṃhaketu, the bodhisattva great being Siddhārtha­mati, the bodhisattva great being Praśānta­cāritra­mati, the bodhisattva great being Prati­saṃvitprāpta, the bodhisattva great being Nityodyukta, and the bodhisattva great being Mahā­karuṇā­candrin.
